,texts,targets
12397,"Como eu posso acordar ótimo as 3:33 da madrugada, feliz, sem um pingo de ansiedade e 4h50m dps eu estar pensando em suicídio dnv",4
10640,#pordentrocomcardinot @Cardinot problemas de depressao e ansiedade dps desse virus aumentaram nao tem idade pra esses danos😔,3
30,"amanhã chega o negócio que comprei, imagina a ansiedade",0
10906,"É OFICIAL Amanhã vou:  - acordar mais cedo pra ir pro trabalho - marcar a fisioterapia - à academia - trabalhar harder em vender o sofá - fazer projex  ESTOU ME COMPROMETENDO A TER UM DIA PRODUTIVO  xô ansiedade, xô deprê",3
2786,de verdade eu to passando mal de ansiedade bts pague minha terapia,1
3687,Ansiedade a mil antes do psicologo ✔️,1
368,Ansiedade é uma merda,0
11498,autodepreciação sexo drogas suicídio morra bolsonaro micróbio do caralho bolsominions filhos da puta tesão facada mal dada do caralho tristeza lembranças de pessoas que foram embora ansiedade álcool drogas suicídio ansiedade saudades aula presencial fodase escola morra bolsonaro,4
11499,"Se quer ajuda, pode ligar para os números que foram disponibilizados nos seus tuítes ou entrar em contato com algum site de ajuda psicóloga.  Mas por favor, não continue a fazer oq esta fazendo, seus tuítes me provocaram uma crise ansiedade pois já tentei suicídio dessa forma.",4
435,@BRParrilla @LanaParrilla SOCORRO VOU MORRER DE ANSIEDADE,0
3167,"Eu preciso fazer um tratamento de canal, mas tenho agonia de dentista, e pensar em marcar o dentista ta me atacando a ansiedade, ta foda",1
4234,A ansiedade me destrói e ver pessoas fazendo piada ou se achando a personificação do problema me incomoda um pouco. Se você tem ansiedade procure um psicólogo e se trate pois é possível se curar.,1
9078,na adolescência:  ou tu entre em depressão ou tu desenvolve ansiedade ou tu descobre que é gay ou bi ou tu vira alcoólatra ou maconheiro  ileso tu não sai,3
10978,"""O pior lado da doença mental é que as pessoas esperam que você se comporte como se não a tivesse""... Olha o impacto disso e como é verdade,  desde uma ansiedade até o transtorno bipolar, passando pela depressão com toques de ""Isso é falta de Deus""",3
10332,"falando isso pq tem PESSOAS que passa o ano inteiro dizendo que a ansiedade do amiguinho é só pra chamar atenção, ou que a depressão do fulaninho é só frescura pq ele tem “TUDO” e não precisa ficar reclamando.",3
8855,"Minha mãe falou um monte de coisas pra me magoar e oq mais me machucou, foi quando ela falou que eu posso ter crise de ansiedade, depressão e ataque de pânico a qualquer hora e até tentar me matar que ela não vai ligar, que ela não se importa",3
7314,"Crise de ansiedade, crise de ciúmes e paranóia q lindoos, tava c sdds amorecos   TAVA N, VAZA SEUS LIXOS",2
3900,"Ontem foi o início de um novo ciclo pra mim, resolvi de verdade fazer o tratamento para ansiedade e síndrome do pânico, cuidar do meu corpo, da minha mente e do meu espírito. Abri mão de algumas coisas, me afastei de outras e iniciei coisas novas.",1
4041,@izzynobre Meditação e aceitar que a ansiedade tá ali... Medicação e terapia funcionam também pra um primeiro combate em caso de crises.,1
13167,"retrospectiva do ano: fui uma boa pessoa ffiquei solteira  tive depressão ansiedade tentei suicídio duas vezes(talvez tente a próxima daqui a pouco, é uma possibilidade muito grande) tive mil problemas resolvi alguns problemas mudei de cidade comecei a trabalhar",4
4126,"@manoelapontocom Eu tô é muito confuso que eu sempre achei que tinha depressão, ansiedade e minha psicóloga tinha identificado Asperger em mim Aí indo no psiquiatra agora acabou que só tenho ansiedade e alguns traços de personalidade semelhante ao autista e fiquei ué",1
2815,Pessoas que ficam falando que tem ansiedade sem ter ido num psiquiatra antes me irritam (apenas as que falam e não entendem que ansiedade vai muito além de frio na barriga e coração acelerado por algum motivo),1
12368,@Marizjj_ Muito saudavel mesmo sai de la so com ansiedade depressao e suicidio 👍,4
11360,"@felipeneto Desculpa pedir isso mas você poderia me ajudar com qualquer quantia para comprar comida? Estou passando por um situação realmente complicada, semana passada quase tentei suicídio novamente, minha depressão e ansiedade está realmente horrível. Sinto vergonha em pedir, mas preciso",4
6069,1a crise de ansiedade por causa da *** ***** em um ano ou mais,2
12675,"Conheci o garoto perfeito, tô mt feliz. Ele tem ansiedade, depressão, despersonalização e princípio de psicose. A família dele é desestruturada, ele já tentou suicídio 4 vezes só esse ano e se mutila pelo menos uma vez na semana. Mas eu vou curar ele disso tudo com meu amor😍🙏",4
4042,"Fiz as unhas das mãos e dos pés, mais tarde vou tomar um banho top, passar meus cremes e hidratar o cabelo, depois de uma semana regada à ansiedade eu mereço demais um tratamento vip",1
4802,Fico preocupada com a minha irmã ela tem ansiedade severa basicamente precisa de mim pra fazer coisas em nível social mas a antiga psicológa dela disse que eu tenho que parar de fazer tudo por ela q ela tem q tentar sozinhas as coisas pq eu não vou ficar do lado dela pra sempre,1
13171,"Nos últimos anos, o crescimento no número de suicídios é altíssimo. O número de casos de pessoas com depressão, síndrome de pânico e ansiedade é assustador. O suicídio é umas das principais causas de morte entre jovens entre 15 e 29 anos de idade.",4
2394,@gabepromises Brinks! Faz isso não que vai piorar a ansiedade. Toma água 👍🏾👍🏾👍🏾,0
5203,"agora tmb eu forcei. eu fiz terapia por 1 ano e por causa da minha ansiedade, mas eu devia ter aliado isso com algum médico mas eu nao tinha dinheiro e fiz esse tratamento td de graça.",1
3100,Tratamento eficaz p ansiedade = maconha,1
8794,Agora vamos listar as doenças psicossomaticas e psicológicas que eu tenho: -  TDAH - Transtorno de Ansiedade  - Depressão  - Síndrome do Pânico  - Bipolaridade  Se tivesse um bingo das doenças eu ia bingar CERTO,3
5845,ainda bem que existe a larissinha pra me aguentar com crises de ansiedade ❤️❤️,2
13060,Quando se trata de um curso como medicina que tem um índice muito alto de suicídio é um absurdo ter que ouvir que o teu transtorno de ansiedade é uma coisa que “tu vai ter que dar um jeito”,4
1532,Fico com ansiedade quando as setas no chão do supermercado me dizem para andar pela direita.,0
7261,@WhatreWeLiving4 tive uma crise de ansiedade essa madrugada,2
9601,"Eu tenho depressao e ansiedade e ela vem e me humilha por ser gorda, CACETE NÃO TINHA FEITO UMA FILHA COM UM HOMEM GORDO CARALHO!",3
843,Eu to só a ansiedade pra essa festa da raphaela,0
9876,"@Camilajaber_ Pqp tô saindo desse post, tremendo, chorando, com ansiedade e depressão",3
9824,minha mãe não entende que depressão e ansiedade NÃO é falta de Deus,3
7040,A crise de ansiedade que tive essa noite pqp,2
443,@ahgaflower EU TENHO ANSIEDADE N FAZ ISSO COMIGO,0
1939,"Estratégia.  Evitem impulsos emocionais, não tente atropelar todos os processos simplesmente porque a sua ansiedade não te deixa esperar.  Aqui pede mais atitudes, preferencialmente estratégicas e pelas quais você se sinta seguro desse próximo passo. Saia desse pessimismo, +",0
3207,a psicóloga da escola dizendo que é para deitar alguém no meio de um ataque de ansiedade e eu sei que ela tem mais conhecimento que eu mas pra mim não tem nada pior do que me tocarem,1
5231,"@ceciXY Eu tive insônia por causa da ansiedade, chegava a passar semanas sem conseguir dormir, tomei remédio, chá, fui pro psicólogo e nada resolveu, o que resolveu foi me fortalecer espiritualmente. Experimenta ir em algum local que te conecte com Deus/universo ou consigo mesma.",1
7496,Bateu a crise de ansiedade legal....,2
12407,"Todo mundo diz que a gente nasce pro um objetivo, mas acontece quando alguém tem depressão, ansiedade e/ou então se suicida por não aguentar tudo. Aí eu me pergunto, pois afinal, que viemos fazer aqui, nesse mundo?",4
4209,"@BlackRay_kun @Mr_Romeu_ @giihkaat @grafiteee05egay @BeMyPoemRosie @Wowieeitsisa @SadBoyQueen minha psicóloga diz que eu tenho um tipo de ansiedade que me faz pensar desse jeito ent eu só paro pra pensar as vezes  ainda sim eu fico com aql peso gigante no peito tipo ""vo melhorar o traço pra fazer isso e aquilo e pah""",1
13520,Seu filho desenvolveu depressão pq vc disse q ele é um merda e n serve p nd.Sua sobrinha agr t transtorno alimentar pq a família tda disse q ela tá gorda.A afilhada t ansiedade pq c n for bem n prova apanha qnd chegar em cs.QND UMA PESSOA DESSA TENTA SUICÍDIO VC PERGUNTA O MOTIVO,4
4740,"eu nunca na vida vou perdoar meu pai por todo o trauma que ele me causou por ter ido embora, nunca, é horrível fazer terapia durante toda minha existência e ainda sim sofrer de ansiedade por medo de ser deixada a qualquer momento por todos ao meu redor.",1
5102,Ter ansiedade é foda. Eu fico toda hora entrando no site das Americanas pra ver se falta muito para o meu celular novo chegar. Eu acho que vou passar mal. A minha psicóloga vai me matar se souber que eu esqueci de todas as técnicas para controle de ansiedade,1
8183,"tive crise de ansiedade no explicador,tá foda sinceramente",2
5739,"Ao invés de tratar da minha ansiedade eu como o dobro, o problema que no final de tudo eu choro duas vezes á mais, uma pela crise de ansiedade e outra por estar cada vez mais gorda, pqqqqqqq",2
1336,Dormir pq as 8 da manhã tem a imersão da tia Aline Moraes e da Talita do Conexão Influência 😍😍😍  Ansiedade que falaaa! 🙈,0
12835,"@blurrysucker nossa sim! eu dou graças a deus que eu sai desse circulo vicioso, na moral. eu sei que e dificil, mas aceitar que mto dos nossos comportamentos é o que nos destroí é o primeiro passo, na real. Ngm cura depressao/ansiedade/etc fazendo piada de suicidio no twitter nao, e a galera",4
6596,Me conforta saber que tá todo mundo em crise de ansiedade e que não estou sozinha  Por outro lado continuo com crise de ansiedade agora em conjunto,2
164,"Eu tenho que arrumar um jeito de controlar minha ansiedade, ontem eu fiquei tão nervosa, que comi minha boca toda",0
11933,"Eu: depressão, ansiedade, síndrome do pânico, um possível transtorno bipolar, e varias tentativas de suicídio que inclusive já me mandaram pro hospital. Minha família ....👍  Um tio “surta” e fica estressado. Minha família 😭😭😭😭😭😭👎👎👎👎💔💔💔   Ah vai pro inferno",4
13657,Só essa semana eu já tive tanta crise de ansiedade que até pensar em suicidio rolou,4
7510,"ta doendo, ta doendo tanto todo dia luto pra não cair pra depressão, pânico e ansiedade não vencerem tomo remédio, vou na terapia, faço exercício, medito onde eu estou errando ?",2
2665,ansiedade está ficando descontrolada de novo?,0
12999,"@revolutionblckp Eu acho um absurdo como as pessoas estão banalizando o peso dessa frase, estimular alguém a cometer suicídio é CRIME, parem de achar que vcs estão lacrando pq não estão, só estão sendo desumanos e nojentos. Imagina o peso de vc falar isso a alguém que depressão e ansiedade?!",4
12221,"como é que vocês consegues ficar em casa à noite sem ter ansiedade, sem começar a sobrecarregar a cabeça com pensamentos malignos, sem sentir depressão, a sério digam-me, cada noite passada em casa para mim é uma luta contra o suicídio",4
2669,Voces também tem um bicho de pelúcia/objeto de infância que gostam de ter por perto durante a noite para se sentirem melhor? Eu agarro um bicho de pelúcia que tenho desde meus 5 anos quando minha ansiedade está muito ruim,0
6249,"Essa crise de ansiedade não vinha a tanto tempo, essas coisas aqui em casa tão me destruindo",2
4713,me bate uma ansiedade antes da terapia que minha noss,1
2523,estar em casa só piora a minha ansiedade e fico a pensar em 1001 coisas,0
6185,Eu não dormi bem a noite passada agr tô aqui deitada com medo de dormir e ter crise de ansiedade.,2
1530,@sqnyasmim minha ansiedade vai roubar meu corpo socorrrrrroo,0
8580,"Comer a mina é fácil, quero ver é saber lidar com as crises de depressão e ansiedade dela!",3
3902,"@ratoborrachudo O nome disso é ansiedade, aproveita q tem dinheiro e acabou de fazer aniversário e vai fazer uma terapia 👁️👄👁️",1
1010,"oi, meu dia vai ser bom a ansiedade queria ficar mas eu não deixei, já comecei meu dia dançando piseiro com a minha vó Sejam gratos e o resto que se foda. Se tudo estiver dando errado, bota barões da pisadinha que tudo melhora Bom dia",0
7070,"@DaeBorba @BaneSchulz Eles não fazem nem ideia o que é ter uma crise de ansiedade ,depressão,eu leio cada coisa...que eu fico pensando :egua eles nao fazem ideia do que é isso.",2
57,Amanhã é sexta meu pai que ansiedade,0
43,Odeio ter ansiedade af,0
10648,"É podre sabe ?! Praticamente todo mundo já passou por uma crise de ansiedade , depressão e afins. E um bando de babaca se junta pra atacar usando isso .  Chega o setembro amarelo e tá lá a glr postando sobre saúde mental . Para um caralho isso",3
10595,A depressão me faz me sentir morta e a ansiedade me faz lembrar que ainda estou viva quando me sufoca á ponto de querer morrer. Exausta!,3
5747,Pior alergia é depois de uma noite de crise de ansiedade e medo 😥,2
9850,"@poncianofran Depende muito do remédio...  E além disso, remédios para depressão não é o mesmo do que remédios para ansiedade.",3
6617,"Lá vem as crises de ansiedade batendo na porta, sempre nessa época do ano 🤷🏽‍♀️🤦🏽‍♀️",2
13384,"se alguém te falar sobre; ansiedade, pânico e depressão, jamais menospreze. não é porque você não vê uma crise que ela não existe. dê ouvidos, se faça presente. uma palavra pode definir se a próxima mensagem vai ser um bilhete de bom dia ou uma carta de suicídio e ....",4
1513,@comentslulu_ LULU É SÉRIO ME RESPONDE O PQ EU TENHO ANSIEDADE SUA PUT4,0
7869,Aquela quarta com a crise de ansiedade da sexta #quartou,2
11186,"@schrarstzhaupt @mellziland @wasimvacinas +1motivo p ir ver suas vitaminas sais minerais falta de algumas dão depressão.Pessoas acham q stress não mata,+ vai minando as defesas do organismo e c isso aparece doença. Qual doença?Sua fisiologia q vai dizer+aumentou MUITO ansiedade, pânico e depressão na pandemia e suicídio",4
8193,@souza_ty Crises e mais crises de ansiedade aqui com essa história. 😭,2
13313,Espero muito que a redação seja algo relacionado a suicídio e ansiedade,4
2537,odeio o fato da minha ansiedade fazer sentir tudo em dobro,0
9992,Depressão é quando você não liga muito pra nada    Ansiedade é quando você liga muito pra tudo   e Inferno é quando você vive os dois,3
312,"@exposedbooktt1 cara eu tenho ansiedade, da pra fzr isso logo n??",0
12406,Pensa numa noite boa. Cheia de ansiedade. Cheia de pensamentos que me derruba. Até em suicídio passou pela minha cabeça.  Tudo que eu quero é que o dia termine bem.,4
3832,@bethcharizard Menina te entendo tanto... Tô com candidíase recorrente mesmo fazendo tratamento por conta do estresse e ansiedade e merda do plano com carência pra eu ir no psicologo quem dá carência pra isso não é cirurgia não aff,1
5881,Ter crises de ansiedade é uma das piores coisas que existem,2
8123,ficar devendo dinheiro dá um mal estar do caralho sinto que vou vomitar ou ter uma crise de ansiedade a qualquer momento,2
8419,"@renjunctdream Já tive t.a e luto contra depressão e ansiedade faz mais de 4 anos sjsksjs Bom mas temos q continuar né, o baile n pode parar, mas sério, espero que tudo fique bem aí, eu realmente torço pelo melhor para pessoas que passam por isso, eu sei que vcs são fortes ❤",3
8461,"esse ano eu não fiz 1 terapia, pois decidi q depressão e ansiedade não eram mais p mim e agr estou curada",3
1357,"Ansiedade é um cu, pura que pariu",0
3963,fui na psiquiatra pra ver a ansiedade neh  ela falou q minha rotina é muito corrida mas to saudável então tá tudo ok neh,1
8758,"@analuizajuliao serie sobre adolescentes, drogas, sexo, depressão ansiedade e all",3
2117,odiei quando fico mal a ponto de não conseguir nem ler meus livros pq até isso se torna um peso tão grande que meu deus odeio ser assim odeio não conseguir suportar essas coisas odeio isso ser um gatilho pra mim odeio ter ansiedade odeio viver,0
13224,"Gente eu fico chocado que, apenas um hatezinho besta em Twitter já tá sendo capaz de causar crise de ansiedade, e até vontade de suicídio nessas pessoas? Oi??? Isso só prova uma coisa. Essa geração de 2003 + não tem o menor preparo pra lidar com frustrações e adversidades da vida",4
2592,"Um ano de alternância entre medo, alívio, ansiedade, alegria, tristeza, esperança, frustração, conquista, estresse, mas sempre com amor! ❤️ Um ano que durou uma vida. Um ano que passou em segundo. Meu ano mais contraditório. Tô mal. 😢",0
7073,"Brigadeiro e Netflix 03h50 da manhã! Efeitos da crise de ansiedade, melhor do que ir pro rolê e voltar chapado!",2
9392,@greysanatombou Curou minha depressão e minha crise de ansiedade.,3
10883,"@luthiniks Kkkk ah, então sla, concerteza eu tô mais na frente acho, é mto bom, o jogo fala até sobre depressão e ansiedade, bom dms, pena que tô preso em uma parte lá",3
11743,"depressão não tem idade, ataque de pânico não é falta de deus, ansiedade não é brincadeira, doenças mentais não são frescuras, baixa autoestima n é só relacionado a aparência, tentativa suicídio n é p chamar atenção, mano se vc n sente, não julgue, n opine sobre o que não sofre.",4
4948,"deveria ter começado esse tratamento de ansiedade aos 15 anos, agora com quase ** tô todo fudido da cabeça, quase tendo um infarto por causa dessa doença fudida, e o fato de ser homem tb só agrava a situação, pois homem não se cuida, não vai em médico, acha  que é bobeira.",1
11380,@boysartt bom e depressivo foi confirmado pela nasa que os casos de suicídio e ansiedade vem dos adolescentes que já viram banana fish,4
7724,essa crise de ansiedade ainda vai me matar,2
5779,"@gabisinha33 sei la, as vezes da uma ansiedade e crise de não ser ngm por não me ver agora sendo alguém lá na frente, slk quase morro",2
9683,"As pessoas tinham que tentar entender a animação de bojack horseman, principalmente quem tem ansiedade, depressão ou aquele vazio existencial...foi a parada que vi que mais me encontrei e me confortei, uma animação de animais meio humano que me fez me sentir melhor que Naruto",3
4571,Iniciar tratamento de ansiedade e ficar mais ansioso na expectativa do resultado 🤡🤡🤡,1
7061,mais uma crise de ansiedade causada pela minha família e suas piadas homofóbicas ✅,2
1006,"me tornei uma pessoa hidratada, e isso tem me ajudado a comer menos. estava me alimentando muito mal nessa quarentena e meu corpo já estava sentindo. minha garrafinha me acompanha 100% do meu dia e quando da aquela ansiedade eu bebo água...",0
12331,"Centro SOS - Voz Amiga: ajuda na solidão, ansiedade, depressão e risco de suicídio  21 354 45 45 91 280 26 69 96 352 46 60  Partilhem porque não sabem quem pode precisar e acima de tudo não tenham medo ou vergonha de ligar. Saúde mental é muito importante e todos fazemos falta cá",4
4946,Na sala de espera mt ansiosa esperando a psicologa pra falar de ansiedade,1
11942,"Sua filha desenvolveu depressão porque você sempre disse que ela não  servia pra nada. Sua sobrinha tem transtorno alimentar porq a família toda disse que ela estava gorda. a outra tem ansiedade porq se não for bem na prova vai apanhar, aí comete um suicídio e perguntam o motivo",4
8694,"Insônia, ansiedade e depressão me deu um abraço e nunca mais soltou",3
4861,"minha psicóloga colocou só F41 no meu CID 10, não deveria ser mais especificado não?? essa mulher nunca falou nada sobre me diagnosticar, quando eu pergunto ela só fala que tenho ansiedade...",1
2476,"Quando os sentimentos sufocam, e a ansiedade ataca, desistir parece o certo? Existe outra saída! #EuSoQueroViver #FJURJ #FJUPiabetáRJ",0
1776,Médico disse que é ansiedade ela tá piorando na quarentena,0
7762,2⁰ crise de ansiedade do dia,2
12361,"@saviorstefani Fingir suicídio é a pior coisa que alguém possa fazer . Eu sofro com ansiedade tenho depressão anos já, mais não saio por aí dizendo oq sinto porq todas as vezes que senti, as pessoas dúvida,  por disso aí pessoas que fingir acaba tirando a chances da pessoas te alguém pra fala",4
4668,Depois de 5 anos to trocando a psicóloga pela primeira vez e to tendo 30 tipos de ansiedade diferente esperando,1
9795,Kkk as pessoa pensa q eu vo no psiquiatra pq tenho depressão ou ansiedade....,3
10725,Sabe oq é pior do q ter ansiedade e depressão?  Ter ansiedade e depressão e ter q passar por isso sozinho.,3
10623,"@isakkkjjjj @dougraz Siiimm eu durmo normal mas acordo exausto no outro dia, e eu fui diagnosticado com muita ansiedade e início de depressão",3
7637,sextou com crise de ansiedade,2
2185,só tem a ansiedade dentro do peito esperando os comebacks,0
2954,"militar no tt faz muito bem pra ansiedade, minha psicóloga recomenda",1
11212,Bullyng causa suicídio  Homofobia causa suicídio  Falta de amor causa suicídio  Tristeza causa suicídio  Ansiedade causa suicídio  Pensa antes de falar/agir!!!,4
1512,fresno me matando aos poucos de ansiedade,0
109,não que eu esteja preocupado com meu emprego mas acabei de baixar o linkedin kkkkk e vamos de ansiedade e desespero,0
9550,@houiamine bota na principal eu tenho ansiedade depressao sindrome do panico,3
10653,"minha escola: vamos fzr uma oalestra sobre depressão e um teste de ansiedade pra ajudar vcs, pq vcs tão mt sobrecarregados na quarentena e a saúde mental de todo mundo ta ruim  minha escola: 10 pgs de atividade por matéria, 3 trabalhos e uma maratona😍🙌",3
477,"Sofrer de ansiedade é torturante sim mas no meu caso o pior era eu não me achar forte pra lutar contra que acionava o gatilho da crise. Me tornei forte e a ansiedade agora é como uma espinha pra estourar, incomoda nas não afeta. 🧢",0
1876,"Hoje Felipe me disse algo do tipo: tenho tanto ranço de você mas ao mesmo tempo te adoro, e eu n percebia mas era tudo q eu queria ouvir, na hora acabou minhas paranóias, minha ansiedade e percebi também q muitas amizades eu deixei pq não ouvi as últimas palavras só as primeiras.",0
10792,@nataschakn_ Depressão e ansiedade durante o cursinho + privação de sono na faculdade + depressão e ansiedade na faculdade + pandemia no 6o ano atrasando o fim 😰,3
11224,"Em 2015 eu cheguei a contemplar mto a morte  N cheguei a considerar suicidio de fato, mas vivia pensando na morte, na minha ansiedade, medo e tudo",4
9863,"Sem contar no fator genético que também é super responsável por depressao e ansiedade. Pelo amor, né, parece que quando criaram o corpo humano os cara tb n pensaram mto em ajudar a gent",3
4757,"@fixemalik sim, ela não tá pra exercer a profissão, mas debochar de uma pessoa com ansiedade??? eu achei muito ridículo da parte dela, eu teria medo de ir numa psicóloga assim",1
9072,"galera eu n to vendo bbb, mas só de ver as fts e a galera comentando ceis tem noção q o fiuk ta numa puta crise de depressão e provavelmente ansiedade sem conseguir aguentar a pressão sem saber o q fazer pq o br inteiro ta olhando e tipo mal pra caraleo???",3
8469,"Autista sem stim e hiperfoco = dor, sofrimento, depressão &amp; ansiedade",3
5154,"Essa noite a ansiedade me matou, q sdd da minha psicóloga 🥵",1
11159,"@Jouberth19 Sim!!! É o último refúgio para muitas pessoas que sofrem de depressão, ansiedade e outros problemas, milhares de pessoas, antes de uma tentativa de suicídio procuram as igrejas e acabam desistindo do ato.",4
10584,como explicar pra minha familia que ansiedade e depressão não é falta de Deus google pesquisar,3
7632,"Formadora disse que ia dar as resposta na sexta, porém a minha ela disse que só daria já formação no sábado,  é pra eu me preocupar e ter crise de ansiedade ?",2
6147,@fairycapshaw nenhum por ora só mts choros e crises de ansiedade c o enem ⚰️⚰️,2
6402,@makeitright_91 eu quero muito trabalhar mas o medo de ter crise de ansiedade e começar a n trabalhar direito por causa da disso é foda,2
4670,"@yurireizin nao foi tratamento de depressao, ela tomava remedio para ansiedade",1
6563,eu mesma tenho ansiedade e crise de ansiedade faz 2 anos pelo fato de falarem tanto do meu corpo que eu acreditei em tudo e ta na minha cabeça até hj,2
6280,Permeando entre uma crise alérgica e uma crise de ansiedade sem precedentes. Grande dia!,2
3229,tô com a mão toda cortada por causa da ansiedade mas nem minha mãe nem minha psicóloga querem q eu tome remédio 🧗,1
2269,@viviimoraess Adora deixar a gente na ansiedade kkk,0
5668,"essa live me salvou de uma crise de ansiedade, não tenho nem o que falar",2
9155,"Deus é Deus e creio que isso vai acabar e se você que está lendo sofre de ansiedade ou depressão tenha fé não desista de você pois você é especial, é importante, é linda(o) e forte não desista que essa fase vai passar você crê??",3
6954,todo dia uma crise de ansiedade diferente sim,2
292,E essa ansiedade pro retiro fica como ? 🤔,0
