date,tweet,label
2014-05-26,"  nem sei te dizer. sei que eu comentava diariamente o  por aqui, usando a hashtag.",
2014-05-26,mas o touch foi pela hashtag ?,
2014-05-28,tao lindo participar de algo que funcione!,
2014-05-28,cvv centro de valorizacao da vida. o que eh ccv ?,
2014-05-29,"hoje e dia de culto na semear macae as 19:30h, av.fabio franco,654 - visconde. venha louvar ao senhor conosco! ! !",
2014-05-29,"procurei ""como morrer rapido"" no google e ele::::::::  precisa de ajuda? no brasil, ligue 141 centro de valorizacao da vida",
2014-06-04,selton mello ja pode usar uma louca que nao consegue ser feliz em nenhum tipo de relacionamento para a prox temporada de,
2014-06-04,"pesquisei no google 'quero morrer agora' (?) e o 1o ~resultado foi ""precisa de ajuda? no brasil, ligue 141 centro de valorizacao da vida""",
2014-06-04,estou ansiosa para o comeco da 3a temporada de,
2014-06-07,141 - centro de valorizacao da vida (cvv),
2014-06-10,sua vaga de trabalho no centro de valorizacao da vida esta garantida.,
2014-06-10,tem gente que manda umas mensagens tao mimi que a vontade e de colar o numero do centro de valorizacao da vida como resposta,
2014-06-10,por uma dora em minha vida,
2014-06-10,"depois de um dia tranquilinho de trabalho, aulinha basica!       ",
2014-06-15,"to ate com vergonha da professora, ela deu 10 pra todo mundo na npc2,mas nem isso resolveu meu problema, tirei dois na primeira ",
2014-06-15,eu to viciada nas series brasileiras.,
2014-06-16,vai voltar com a 3a temporada \o/,
2014-06-16,"na inglaterra, o food and mood project, mostrou que a reducao de acucar/cafeina/alcool e chocolate melhorou em 24% a depressao ",
2014-06-17,assistindo  e esta me dando uma leva saudades do meu analista.,
2014-06-17,"professores sendo ameacados c inquerito administrativo, mas e dai e copa, quem se importa?    ",
2014-06-19,a seguir estudiando. .,
2014-06-21,aaaaaaah nosva temporada de  chorei com o comercial !,
2014-06-24,"daqui a pouco, as 13h15, acontece na unidade de  a tradicional . contamos com a participacao das familias!",
2014-06-27,"graca e paz acordar com chuva no interior do ceara nao tem preco, ate parece que deus esta dizendo para nos ei tbm  rsrsrs",
2014-06-27,"joguei ""suicide"" no google e apareceu: precisa de ajuda? no brasil, ligue 141 centro de valorizacao da vida",
2014-06-28,c.v.v centro de valorizacao da vida,
2014-06-28,so fui assistir o futebol depois que o roger venceu.... hahahaha  hahahaha,
2014-06-29,participe kkk rsrs,
2014-06-29,"ai vc pesquisa ""suicidar"" no google, e ele lhe da o numero do centro de valorizacao a vida! kkkkkkkkkk",
2014-06-30,nao tenho mais  mas ta chegando,
2014-07-01,bora pra  hahaha,
2014-07-02,"ao mudarmos nossa maneira de pensar, nos sentimos melhor, mesmo que a situacao nao possa ser mudada ",
2014-07-03,muito bom,
2014-07-03,perguntas que calam fundo dentro de nos e nem sempre sabemos onde buscar respostas. vem ai...,
2014-07-06,"e vamos para frente com mais um de  a serie e muito boa, e excelente!",
2014-07-08,sempre depois da tristeza vira um gozo de alegria nada e envao  pra tudo existe um pra que !,
2014-07-08," "": no momento, a psicologa da selecao esta sendo atendida pela psicologa reserva.""",
2014-07-09,so uma coisa a declarar.  ta demais!,
2014-07-10,acho que vou assistir um episodio de,
2014-07-11,a escuta pra quem sabe ouvir ate mesmo o silencio e muito importante! !,
2014-07-11,"armando iannucci, brilhante escoces criador de veep da hbo e muito mais na inglaterra nao abre email depois das 6.  ",
2014-07-12,mais uma conexao para honra e gloria de deus!,
2014-07-12,do  acho que eu sou a unica que esta ansiosa pela segunda temporada,
2014-07-15,as pessoas sao como uma tela em branco.nao se pode julgar antes.tem que ir de coracao aberto,
2014-07-17,"o capsi realiza atendimento de criancas e adolescentes, entre 3 e 18 anos, alem de familiares e responsaveis, na area da .",
2014-07-21,as primeiras temporadas de  esta disponivel no globosat play. rever para aumentar a ansiedade pela 3a em agosto.,
2014-07-22,"e com a estreia mes que vem da 3a temporada de , entao, la se vai de vez minha vida social e meu sono... vou desidratar!",
2014-07-22,ansiosissima para a terceira temporada de,
2014-07-23,""": desmatamento na amazonia legal sobe 358% em apenas 1 ano""",
2014-07-23,putz! da o telefone do centro de valorizacao da vida pra ela!,
2014-07-23,ela curte tudo que vc dedica a mim,
2014-07-24,"de homem a homem verdadeiro, o caminho passa pelo homem louco. michel foucalt.  ",
2014-07-25,a nova temporada de  estreia no  no dia 4 de agosto!,
2014-07-27,quem se importa? de o primeiro passo e os demais te seguirao. a oferta de sangue foi por todos. faca-a conhecida!,
2014-07-30,"ainda bem q agosto estreia  no , setembro  e outubro tem  ... pq senao o tempo n ia passar",
2014-07-31," excelente , gostava dela em ",
2014-08-01,"de todos os pacientes, theo voce e o pior ",
2014-08-01,"tudo que o teo aconselha seus pacientes fazerem, ele mesmo nao faz. ",
2014-08-02,"""levamos muito tempo pra perceber que, as vezes, aquilo que mais te protege e o que mais te prende.""  ",
2014-08-02,ja estou amando (mais ainda) o evandro!,
2014-08-03,amanha (04.08)...22:30h - retorna  no,
2014-08-03,141 centro de valorizacao da vida.,
2014-08-03,"a pessoa diz que quer se matar e eu digo liga pro centro de valorizacao da vida, e ainda sou xingando!",
2014-08-04,gente algum video do primeiro capitulo? eu perdi :(,
2014-08-04,que comeco de temporada!,
2014-08-04,vai comecar . obaaa,
2014-08-04,ja tava com saudade do theo!,
2014-08-04,ja vai comecar. finalmente!,
2014-08-04,no gnt. adoro,
2014-08-05,sera que da pra ter uma ideia de quando sai as proximas temporadas da  em livro?,
2014-08-05,terapia e muito foda!foi uma das melhores coisas q fiz por mim.,
2014-08-05,terceira temporada: amor a terceira vista vale o triplo...,
2014-08-05,"terceira temporada de  continua tudo de bom, mesmo com o som sofrivel.",
2014-08-05," comeca e tambem o silencio em casa, eu e minha esposa vidrados nos dilemas e provocacoes...  ",
2014-08-06,"na comissao de seguridade social e familia coordenei o grupo de trabalho da saude mental, proposto por mim.  ",
2014-08-06,e divulgar!acabei de comprar o kit da  com caderninhos lindos e adesivo da,
2014-08-06,se quiser desabafar por dm  fica a vontade,
2014-08-06,"""ja lhe fizeram sofrer demais ja lhe fizeram feliz demais ta na hora de voce mesma fazer algo por voce...""   reflexoes de .",
2014-08-06,esse episodio de  hoje vai ser incrivel. esse paciente.,
2014-08-06,"depois de assistir  e , vou ouvir . ",
2014-08-07,da gosto assistir,
2014-08-07,"eu tenho  (cheia de louca), todo santo dia.  ",
2014-08-08,vai comecar \o/,
2014-08-08,esperando a semana inteira pra ver  com a camila pitanga e ela falou nem 5 minutos,
2014-08-08,noticia da rtp: nenhum portugues esta com ebola!,
2014-08-08,1ano sem auto mutilacao.  se eu consegui vc tambem consegue,
2014-08-09,assistindo  no  . . bom d+,
2014-08-09,-- assistindo sessao de terapia,
2014-08-09,tensa essa moca,
2014-08-09,ninguem nos machuca pela segunda vez sem a nossa permissao.,
2014-08-10,ela tem toc.,
2014-08-10,"""vc acredita qe as pessoas podem machucar as outras sem querer, mas ninguem machuca mais de 1 vez sem permissao""  ",
2014-08-10,"""ninguem machuca mais de uma vez sem permissao"" ",
2014-08-11,hoje foi a primeira vez que vi  gostei muito! todos os dias tem as 22:30h no gnt. muito bom pra todos!,
2014-08-11,. imperdivel,
2014-08-11,leticia - linda - sabatella em !,
2014-08-11,"o cvv - centro de valorizacao da vida, e uma ong com hotline para ajudar pessoas com o suicidio. suicidio e um problema serio. telefone: 141",
2014-08-12,combate aos estigmas!  prejudica muito a vida de portadores de transtornos mentais,
2014-08-12," e diretamente ligada as mortes de , sobretudo a depressao. isso tem q mudar!   ",
2014-08-12,essa serie e realmente uma,
2014-08-12,estou sem money para  apelei para a  para saber o que eu faco.,
2014-08-13,"""centro de valorizacao da vida (cvv) abre inscricoes para voluntarios."" oba, gente nova pra eu conversar",
2014-08-13,comecou,
2014-08-13,pra endoidar mais um pouco,
2014-08-14,"atitude nobre da google de lancar um atalho p/ o centro de valorizacao da vida em seu site. e que assim, pessoas abram os olhos para o bem.",
2014-08-15,48% de rejeicao!!! o df ja nao aguenta mais o descaso! quer uma brasilia melhor?,
2014-08-15,e hoje eu vou de reforma psiquiatrica e politica de saude mental no brasil pra comecar o dia!,
2014-08-15,ola amiga to bem e vc? to acompanhado apenas series brasileiras....,
2014-08-15,"definitivamente, nao tenho saco pra homem .    -ouvindo missao impossivel na pan",
2014-08-15,"  3a temporada no gnt,grandiosa serie",
2014-08-16,terceira temporada ta demaais!!,
2014-08-17,""" importa para mim, por isso estou fazendo movimentos para se tornar um melhor defensor da saude mental"" ela ta bem",
2014-08-17,"voce acha que as pessoas podem machucar a outras sem querer, mas ninguem machuca mais de uma vez, sem permissao.  ",
2014-08-17,essa  e bom d+,
2014-08-18,minha entrevista no dftv 2o edicao vai comecar! acompanhem!,
2014-08-18,""" importa para mim, por isso estou fazendo movimentos para se tornar um melhor defensor da saude mental"" - demi ",
2014-08-18,sem chances da frustracao tomar conta de mim .,
2014-08-20,hoje falhou no paciente do dia rsrs milena no lugar do felipe  mas foi muito bom como sempre!!!,
2014-08-22,a mente se adapta de maneira gradual a assuntos sobre os quais se demora. (egw em mcp v1 p.69),
2014-08-24," como e bom que os irmaos viva em comunhao,foi muito gratificante e edificante.  ",
2014-08-25,comecou bianca,
2014-08-25,"theo e tao humano,  demasiadamente humano. emociona demais ver o vinculo entre paciente e terapeuta.  ",
2014-08-26,antes que ela confesse que so esta ali para se vingar do pt.,
2014-08-26,fui doar sangue hoje (:,
2014-08-27,p fechar o dia do psicologo,
2014-08-27,vamos de  -- assistindo sessao de terapia,
2014-08-28,"""nem sempre perder o controle e ruim.. ""  ",
2014-08-29,compendio de emocoes,
2014-08-31,"conhecendo a medica psiquiatra, doris moreno no .   ",
2014-09-02,melhor episodio ever!,
2014-09-02,arrasada com esse episodio. maravilhoso!,
2014-09-03,comecou *---*,
2014-09-03,ooopa que essa  ficou quente!,
2014-09-04,muito bom o episodio de hoje de . muita intensidade!,
2014-09-04,toda mudanca acontece de dentro pra fora...,
2014-09-05,essa fundacao fala justamente sobre  - agressor/agredido ....,
2014-09-05,me aproveitando de uma paixao pra matar a saudade de outra.,
2014-09-05,"como se , eu me importasse kasoksoaksoaksokaoskoaskoa' affs '-'  :(",
2014-09-06,sentimento diferente da realidade gera angustia,
2014-09-06,salvando meu sabado,
2014-09-08," surpreende, bianca mostra os pontos nebulosos de uma consulta. ",
2014-09-08," acho que e tipo ""centro de valorizacao da vida""",
2014-09-08,mais incrivel q nunca!!!,
2014-09-09," no gnt, direcao de selton melo, terceira temporada. otimo programa.",
2014-09-10,debora curtiu cvv - centro de valorizacao da vida,
2014-09-10,"""as vezes, a distancia aproxima mais que a presenca"" - theo em ",
2014-09-10,centro de valorizacao da vida promove hoje debate sobre suicidio,
2014-09-11,adoro!,
2014-09-12,"""ser cristao tem + a ver com segunda feira d manha, do q domingo a noite..."" pr.lucinho  ",
2014-09-12,- o que aconteceu com a gente? - a gente esqueceu que era irmao.,
2014-09-14,maratonaaaa!   -- assistindo sessao de terapia,
2014-09-15,passada com o episodio de  hoje com uma boderline  leticia sabatella sem palavras,
2014-09-15,"queria ter uma filha igual a do teu theo, essa guria eh demais! ",
2014-09-15,"voces sabiam que se voces digitarem no google ""i want to die"" aparece um numero de centro de valorizacao da vida?",
2014-09-16,"como bianca   seu transtorno bipolar, obsessao fez dar um choque de realidade com muitas pessoas que conheco",
2014-09-16,kkkkk ja ja o defeito some,
2014-09-16,pagina atualizada no facebook:  psicologa cybelle freitas de azeredo coutinho,
2014-09-17,perdi a ultima semana de  depois de acompanhar a serie toda.,
2014-09-17,ahora tbm   en skype  o via email!,
2014-09-17,"""precisa de ajuda? no brasil, ligue 141 centro de valorizacao da vida""",
2014-09-18,"lembrei do google que oferecer o telefone do ""centro de valorizacao da vida"" caso voce pesquise ""quero morrer""..",
2014-09-18,ultima semana  um desfecho mais surpreendente que outro simplesmente show,
2014-09-18,...a chuva ta forte...ta falhando o sinal na melhor parte .milena e a minha preferida . adoro essa serie,
2014-09-19,"fim de serie,inicio de desolacao. meu sonho e ser dirigida pelo selton mello. ",
2014-09-19,: ja com saudades.... pensando em fazer terapia com a dora! quero ser assim qdo crescer,
2014-09-20,""": se estiver em tempos dificeis e desanimado com a vida, experimente conversar com o centro de valorizacao da vida (cvv) - tel. 141""",
2014-09-20,demais  arrasa,
2014-09-21,"chegando no fim do livro , ainda vi bons talentos no  e a estreia de . doses homeopaticas!",
2014-09-21,a gnt nao vai deixar vc se perder!!!,
2014-09-23,"""nao se pode e nem deve querer agradar todo mundo e principalmente o tempo todo e nem esperar muito das pessoas"", diego, em ",
2014-09-24,"ai voce vai procurar algo no google e aparece: ""precisa de ajuda? no brasil, ligue 141, centro de valorizacao da vida."" ok",
2014-09-24,".... confira, retuitem e sigam  e juntem-se ao movimento!!!!!! ",0
2014-09-26,e me mandaram p central d ajuda da cvv (centro de valorizacao a vida),1
2014-09-28,terminei de ler  agora vou partir para,0
2014-09-28,"sabia que se vc digitar ""suicide"" no google aparece o telefone do centro de valorizacao da vida ? palmas.",1
2014-09-28,estar empatico ao outro nao e ser simpatico,0
2014-10-01,luis fabiano na proxima temporada de sessao de terapia.,0
2014-10-01,hoje a experiencia no caps foi otima. aprendi a fazer ponto cruz.,0
2014-10-01,passei em ... !que venha o proximo estagio,0
2014-10-09,"""as vezes, para se aproximar e preciso primeiro tomar distancia.""   ",0
2014-10-10,"""juntos podemos proporcionar esperanca a todos que sofrem de esquizofrenia e outras doencas mentais graves"" ban ki-moon ",1
2014-10-10,- como vai a sua?         iv encontro de saude mental de jaragua do sul e iii encontro de saude mental dos municipios da amvali,1
2014-10-10,vou ligar pro centro de valorizacao da vida,1
2014-10-10,seja sua propria luz.   be your own light.,0
2014-10-14,ver o ravel na novela da globo e lembrar do diego &gt;&lt;  o saudade da,0
2014-10-15,venha dividir seu tempo com quem precisa dividir sentimentos! o centro de valorizacao da vida (cvv) de sao goncalo-rj esta oferecendo o...,1
2014-10-16,cansada hj medico... amanha  dias agitados ultimamente.... -- se sentindo cansada,0
2014-10-16,nilsa madsen explica o trabalho realizado no centro de valorizacao da vida.,1
2014-10-17," 3321-4111 cvv centro de valorizacao da vida reclame, valorizamos sua reclamacao.",1
2014-10-20,"busque ajuda! quanto mais tardio o tratamento,  mais distante seu filho vivera de todos.     ",0
2014-10-22,"o exercicio e um , e pode ajudar a mante-lo mentalmente saudavel.  ",0
2014-10-23,odeio leis ! se eu gostasse tinha ido para advogada. nao fui pois nao?,0
2014-10-24,bom dia! e hoje,0
2014-10-27,"boa noite, migos     ",0
2014-10-27,quase 18 mil tts para nao!!!!,0
2014-10-27,"gente, da uma forcinha  ",0
2014-10-27,"acho q n e p falar da causa da morte da clara, porem as pessoas precisam saber o quanto e grave a depressao!  ",1
2014-10-28," ola, podes ajudar a esta campanha, pfv? obrigada e sucesso!   ",0
2014-10-28,"galera usem a tag  e  e por uma boa causam, ajuda plss",0
2014-10-28," e voce merece uma homenagem linda, ate pq ",0
2014-10-28,"""como e que eu faco agora? como e que eu faco pra dar sentido pra uma vida que so parece ter sentido com voce?"" ",0
2014-10-28,continuando na campanha pela homenagem a clara e lembrando que,0
2014-10-28,apoio!,0
2014-10-29,me deixa,0
2014-10-29,hoje e o dia mundial do ave,0
2014-10-29,beijo,0
2014-10-29,vou dormir bjs,0
2014-10-29,como lidar c luiz felipe c ciume de thalitinha?  #arcticmonkeyslovesyouclara,0
2014-10-29,bom dia!,0
2014-10-29,boraa,0
2014-10-30,"certas coisas a gnt joga no mar do esquecimento, e se alguem voltar ao assunto finja que nao lembra ;) ",0
2014-10-31,dia de apresentar o trabalho de dependencia quimica,0
2014-10-31,"que a nossa luta cresca mt, e q a passagem da clara nao tenha sido em vao.   ",
2014-11-02,centro de valorizacao da vida. e um servico telefonico para auxiliar pessoas que estao prestes a cometer suicidio.,
2014-11-05,"a radio eldorado e associada ao centro de valorizacao da vida nas campanhas a favor da vida. ligue 144 e 3439.0222, cvv!!",
2014-11-06,com pato fu :d,
2014-11-09,"ate qdo milhares de jovens, pobres e ,na maioria, negros serao assassinados? estamos nos acostumando  ao mal?  ",
2014-11-11,gnt -- assistindo sessao de terapia,
2014-11-12,"""40% das acoes que realizamos todos os dias nao sao decisoes, mas sim habitos""     ",
2014-11-13,"o brasil se pergunta: ""quando esses desaparecimentos de jovens negros terao fim?""   ",
2014-11-13,lazaro tenho orgulho de saber q meu pais tem atores como vc e tais  justica igual pra todos n pode ser uma utopia,
2014-11-13,"daqui pouco assessoria mandato ira colocar aqui link para video deste pronunciamento, via nosso canal youtube  ",
2014-11-14,to sem muita paciencia ... qdo saiu de casa tenho o sentimento q estou sendo seguida   wtf,
2014-11-17,estudando  ... e o jeito.,
2014-11-19,o gnt cancelou o melhor programa da casa  indignada e agora fas da serie fica ai sem mais nem menos foda lamentavel,
2014-11-21,muito bom  . vamos romper esse pacto de silencio!,
2014-11-24,um filosofo ai disse que o segredo da eficiencia e a persistencia. o sr tem sido persistente o suficiente?,
2014-11-24,"deixe o espirito santo te guiar, ser teu amigo, te restaurar, erguer.. do mesmo jeito que fez comigo!  ",
2014-11-24," da uma ligada la.. centro de valorizacao da vida, devem saber o que fazer...",
2014-11-25,"quero voltar pra cama, mas ja estou no caminho do trampo   ",
2014-11-29,"quando voce pesquisa ""formas de suicidio"" aparece: ""precisa de ajuda? ligue 141 centro de valorizacao da vida""",
2014-12-01,ta e ai,
2014-12-01,desafio,
2014-12-02,"eu nao sou o que me aconteceu, sou o que escolho me tornar.    ",
2014-12-03,"pessoas sem perspectiva nao consegue olhar um palmo na frente, nao enxerga as oportunidades!    ",
2014-12-06,"centro de valorizacao da vida promove brecho solidario neste sabado, no bairro sao victor, em caxias ",
2014-12-07,"adoro meu trab mas td tem sua hora... povo workaholic, bora descansar um pouco? vcs nao sao maquinas viu?  ",
2014-12-09,novidades no tratamento da .,
2014-12-10,ou liga la 141 centro de valorizacao da vida,
2014-12-13,e la vamos nos a melhor festa do ano.  .,
2014-12-15,"e  tb e essencial. pq algumas coisas ngn quer ouvir, so os medicos msm.",
2014-12-20,maratona de . que homem chato e esse..,
2014-12-24,dando uma parada em anne rice pra ir pra  . episodio do theo com a dora &lt;3,
2014-12-25,o centro de valorizacao da vida nunca atende quando eu ligo gente nem eles me quer,
2014-12-30,terminou de baixar os primeiros episodios de  &lt;3,
2014-12-30,seguindo e recomendando  centro de valorizacao da vida de sao goncalo/rj,
2015-01-03,breno faleceu?! justo quando eu tava comecando a simpatizar com ele.,
2015-01-06,centro de valorizacao da vida,
2015-01-07,primeira  sera uma retrospectiva do que rolou nessas 3 semanas sem. haja memoria e paciencia!,
2015-01-07,""": sua vida e importante. precisa de ajuda ? ligue para o cvv - centro de valorizacao da vida &gt; tel: 141.""",
2015-01-14,"a prova hj foi massa, ""verdadeiro"" fechou... prof tirou onda.  ",
2015-01-20,a cada sessao um novo aprendizado.,
2015-01-20,investindo na clinica,
2015-01-22,soxorro proxima vez q eu tiver depressiva ao inves de me encher de comprimido ligarei por 141 centro de valorizacao da vida,
2015-01-24,melhoras pelo seu mal estar,
2015-01-26,impressao minha ou eu que custei a ver que  esta inserida em  ?!,
2015-01-26,toda a sequencia da psicologa ta muito parecida com os enquadramentos e pegada de  .,
2015-01-26,"fernanda candido numa sala de terapia. me lembrou daquela serie dirigida pelo selton, qual o nome mesmo  ",
2015-01-28,selma egrei arrasou em,
2015-01-30,"acontece hoje (30/01), na fuam, a 1a reuniao de 2015 do grupo de  em , que reune pacientes da instituicao.",
2015-01-30,nao me canso de assistir...,
2015-02-05,"olha,  do gnt em ",
2015-02-06,agora a selma egrei e que vai ter que fazer terapia com o theo ( e  crossover),
2015-02-06,"en media hora comezamos o programa coa 2a visita que nos fai  para falar de , ,  e .",
2015-02-07,"bom dia, hoje o dia sera longo! gracas a deus! muitas coisas a fazer ate a madrugada.  ",
2015-02-08,"depois de uma tarde top, vamos estudar ne?  ",
2015-02-09,com a minha,
2015-02-11,celula e comemoracao do niver de mariana! desejamos que deus te abencoe grandemente!,
2015-02-14,"se um dia voce estiver querendo se matar, pesquise no google ""suicidio"" ai aparece um telefone do centro de valorizacao da vida",
2015-02-22,disponha =). seria bom voces procurarem pessoas ligadas ao cvv (centro de valorizacao da vida) e depoimentos sobre suicidio.,
2015-02-24,estudiando diagnostico con  /,
2015-02-24,pela aprovacao da reducao da carga horaria de trabalho dos psicologos para 30h.  tambem para nos!,
2015-02-26,so os loucos conseguem me entender.,0
2015-03-02,"que legal, quando digita suicidio no google aparece o nome do centro de valorizacao da vida",1
2015-03-02,vale a pena conferir!,0
2015-03-03,amando minha facul de psicologia.!!,0
2015-03-04," nao se suicide, ligue para 141: centro de valorizacao da vida. nao quero nenhum idiota me processando porque o filhinho (...) wtf",1
2015-03-04,"bom dia pra quem acordou tendo que ir trabalhar la ma taquara, pertinho!         ",0
2015-03-06,"oficialmente voluntario do projeto pibex ""cuidando do cuidador"" da prof. dra aline beckmann!   ",0
2015-03-06,a  presso,0
2015-03-11,"a  e um trabalho continuado, que auxilia o paciente nas diversas formas de relacionamento e interacao. quem aqui ja fez?",
2015-03-12,centro de valorizacao da vida e o melhor caminho pra esses 2,
2015-03-13,senhor abra minha mente e faca com que essa materia entre na minha cabeca,
2015-03-14,sabado tambem e dia de estudar.,
2015-03-16,alo e do centro de valorizacao da vida??? e que eu queria me matar....,
2015-03-21,hoje orando pela linda da thalita marques miguel... amo  &lt;3,
2015-03-22,amg disque 141 centro de valorizacao da vida  vai la,
2015-03-23,o teo mandou assassinar criancas. como esse mundo da voltas...,
2015-03-23,porra!!!! ate o dr theo ta nessa novela. nao ta facil pra ngm.,
2015-03-23,zecarlos machado vai precisar de muita  depois que o moises descobrir q foi adotado e ficar todo revoltz.,
2015-03-23,eu quero ver os jovens vivos!!,
2015-03-25,agora mesmo na tv,
2015-03-26,informacao controlada e uma forma muito humana de nao preocupar o povo com assuntos que nao lhes interessam.,
2015-03-27,"fatalidades a parte,mundo ainda nao acordou p/urgencia do acolhimento a pessoas c/depressao e outras psicopatologias trataveis ",
2015-03-28,e voce?,
2015-03-28,"hoje, (28) no parque da jaqueira as 16h30 acontece um ato pelos cristaos perseguidos no oriente o . participe.",
2015-03-28,global tava maravilhoso !,
2015-03-29,"  , obrigada pelo o vinculo de sempre minha irma. :*",
2015-03-31," fatima, um otimo assunto a ser discutido em seu programa, vai a dica: ",
2015-04-01,jovens negros morrendo injustamente,
2015-04-03,a cruz nao foi mais pesada que os pecados da humanidade que ele levou.  mas hj podemos dizer que somos livres...,
2015-04-06,"ah  e uma serie muito, sei q ja acabou, mas quem n assistiu fica a dica. selton mello ta de parabens ",
2015-04-09,o numero daquele centro de valorizacao da vida alguem tem,
2015-04-09,muitas das vezes quem mais dar e quem menos tem .,
2015-04-12,agora eu faco parte do,
2015-04-12,chegando agora da festa... preparando para a celebracao logo mais a noite... hoje 6 ieq as 19:30.,
2015-04-14," , agora en  parabens polo programa  de axuda aos sen teito  ",
2015-04-14,"nunca gostei de conversa de salao, excepcionalmente hoje fui o terapeuta da cabeleireira.   ",
2015-04-16,amanha e o primeirinho congresso do  e e ruim que eu nao vou,
